long,lat,order,hole,piece,group,id
-83.45552264,41.7765582,79,FALSE,1,0.1,0
-83.45581239,41.77652499,80,FALSE,1,0.1,0
-83.45667441,41.77617783,81,FALSE,1,0.1,0
-83.4578496,41.77501342,82,FALSE,1,0.1,0
-83.45836823,41.77478167,83,FALSE,1,0.1,0
-83.4587573,41.77432753,84,FALSE,1,0.1,0
-83.4590551,41.77456433,85,FALSE,1,0.1,0
-83.45919996,41.77529522,86,FALSE,1,0.1,0
-83.45905498,41.77577115,87,FALSE,1,0.1,0
-83.4582615,41.77607183,88,FALSE,1,0.1,0
-83.45748333,41.7765568,89,FALSE,1,0.1,0
-83.45596497,41.77708461,90,FALSE,1,0.1,0
-83.45504196,41.77725295,91,FALSE,1,0.1,0
-83.45450003,41.77747617,92,FALSE,1,0.1,0
-83.45418714,41.77752339,93,FALSE,1,0.1,0
-83.45358467,41.77729309,94,FALSE,1,0.1,0
-83.45290545,41.77756427,95,FALSE,1,0.1,0
-83.45303533,41.77774613,96,FALSE,1,0.1,0
-83.45357685,41.77805428,97,FALSE,1,0.1,0
-83.45441598,41.77828852,98,FALSE,1,0.1,0
-83.45437806,41.77859554,99,FALSE,1,0.1,0
-83.45421027,41.77877024,100,FALSE,1,0.1,0
-83.45311929,41.77873501,101,FALSE,1,0.1,0
-83.45234113,41.77888672,102,FALSE,1,0.1,0
-83.45108956,41.77885039,103,FALSE,1,0.1,0
