"serial","day","month","year","season","time","bin.depth.min","bin.depth.max","n","depth.mean","depth.sd","depth.cv","temp.mean","temp.sd","temp.cv","cond.mean","cond.sd","cond.cv","ph.mean","ph.sd","ph.cv","turb.mean","turb.sd","turb.cv","chloro.mean","chloro.sd","chloro.cv","do.percent.mean","do.percent.sd","do.percent.cv","do.ppm.mean","do.ppm.sd","do.ppm.cv","lat","long"
105,18,6,2013,"Spring",1710,-0.5,0.5,38,0.146,0.108,0.74,18.87,0.685,0.036,0.098,0.093,0.949,8.109,0.059,0.007,99.082,0.428,0.004,9.1,0,0,91.947,0.839,0.009,8.552,0.198,0.023,41.76343,-83.14987
105,18,6,2013,"Spring",1710,0.5,1.5,4,1.013,0.356,0.351,19.773,0.402,0.02,0.241,0.003,0.012,8.207,0.005,0.001,99.675,0.25,0.003,9.1,0,0,90.85,0.5,0.006,8.295,0.11,0.013,41.76343,-83.14987
105,18,6,2013,"Spring",1710,1.5,2.5,3,2.179,0.178,0.082,19.98,0,0,0.239,0,0,8.217,0.006,0.001,99.8,0,0,9.1,0,0,90.6,0,0,8.24,0,0,41.76343,-83.14987
105,18,6,2013,"Spring",1710,2.5,3.5,3,3.066,0.321,0.105,19.98,0,0,0.239,0,0,8.227,0.006,0.001,99.8,0,0,9.1,0,0,90.6,0,0,8.24,0,0,41.76343,-83.14987
105,18,6,2013,"Spring",1710,3.5,4.5,3,3.99,0.309,0.077,19.983,0.006,0,0.239,0,0,8.233,0.006,0.001,99.8,0,0,9.1,0,0,90.6,0,0,8.237,0.006,0.001,41.76343,-83.14987
105,18,6,2013,"Spring",1710,4.5,5.5,3,4.999,0.293,0.059,19.98,0,0,0.239,0.001,0.004,8.24,0,0,7.4,0.1,0.014,2.167,1.06,0.489,99.467,7.679,0.077,9.043,0.696,0.077,41.76343,-83.14987
105,18,6,2013,"Spring",1710,5.5,6.5,4,5.995,0.403,0.067,19.98,0,0,0.239,0,0,8.248,0.005,0.001,7.475,0.189,0.025,2.55,0.926,0.363,104.05,0.058,0.001,9.463,0.005,0.001,41.76343,-83.14987
105,18,6,2013,"Spring",1710,6.5,7.5,3,7.212,0.247,0.034,19.91,0.05,0.003,0.239,0.001,0.004,8.25,0,0,7.4,0.173,0.023,1.967,2.122,1.079,104.067,0.058,0.001,9.477,0.006,0.001,41.76343,-83.14987
105,18,6,2013,"Spring",1710,7.5,8.5,4,8.189,0.31,0.038,19.785,0.034,0.002,0.238,0.001,0.004,8.248,0.005,0.001,7.225,0.34,0.047,0.1,0.804,8.04,103.875,0.15,0.001,9.48,0.012,0.001,41.76343,-83.14987
106,18,6,2013,"Spring",1348,-0.5,0.5,127,0.091,0.022,0.242,18.091,0.364,0.02,0.003,0.016,5.333,8.167,0.042,0.005,59.769,68.701,1.149,3.348,3.369,1.006,91.609,0.998,0.011,8.66,0.141,0.016,41.86343,-83.14995
106,18,6,2013,"Spring",1348,0.5,1.5,2,0.908,0.086,0.095,18.825,0.516,0.027,0.27,0.012,0.044,8.155,0.007,0.001,17.75,12.233,0.689,4.85,1.909,0.394,94.7,0.283,0.003,8.805,0.064,0.007,41.86343,-83.14995
106,18,6,2013,"Spring",1348,1.5,2.5,6,1.968,0.255,0.13,19.727,0.105,0.005,0.275,0.001,0.004,8.183,0.012,0.001,10.583,2.595,0.245,4.067,1.147,0.282,98.033,1.701,0.017,8.957,0.137,0.015,41.86343,-83.14995
106,18,6,2013,"Spring",1348,2.5,3.5,4,3.007,0.337,0.112,19.81,0,0,0.275,0,0,8.207,0.005,0.001,9.175,0.096,0.01,4.55,1.718,0.378,101.925,0.789,0.008,9.295,0.07,0.008,41.86343,-83.14995
106,18,6,2013,"Spring",1348,3.5,4.5,10,3.988,0.265,0.066,19.797,0.009,0,0.275,0.001,0.004,8.233,0.011,0.001,9.13,0.337,0.037,4.71,1.142,0.242,105,1.017,0.01,9.58,0.096,0.01,41.86343,-83.14995
106,18,6,2013,"Spring",1348,4.5,5.5,3,5.021,0.257,0.051,19.757,0.015,0.001,0.276,0,0,8.247,0.006,0.001,10.467,1.935,0.185,3.7,1.992,0.538,106.8,0.173,0.002,9.753,0.021,0.002,41.86343,-83.14995
106,18,6,2013,"Spring",1348,5.5,6.5,7,5.862,0.368,0.063,19.729,0.004,0,0.276,0,0,8.257,0.005,0.001,9.214,0.38,0.041,3.657,2.349,0.642,107.343,0.19,0.002,9.806,0.018,0.002,41.86343,-83.14995
106,18,6,2013,"Spring",1348,6.5,7.5,3,7.095,0.264,0.037,19.703,0.015,0.001,0.278,0,0,8.26,0,0,9.167,0.058,0.006,4.667,2.065,0.442,107.767,0.058,0.001,9.853,0.012,0.001,41.86343,-83.14995
106,18,6,2013,"Spring",1348,7.5,8.5,3,8.027,0.3,0.037,19.663,0.021,0.001,0.279,0.001,0.004,8.26,0,0,9.333,0.208,0.022,4.667,0.757,0.162,107.8,0,0,9.86,0,0,41.86343,-83.14995
106,18,6,2013,"Spring",1348,8.5,9.5,3,8.937,0.2,0.022,19.583,0.031,0.002,0.279,0.002,0.007,8.263,0.006,0.001,152.967,248.145,1.622,2.867,3.968,1.384,107.8,0.1,0.001,9.877,0.006,0.001,41.86343,-83.14995
107,18,6,2013,"Spring",1257,-0.5,0.5,28,0.14,0.114,0.814,17.873,0.731,0.041,0.074,0.093,1.257,8.166,0.071,0.009,613.993,3.026,0.005,7.5,0,0,93.843,0.898,0.01,8.908,0.219,0.025,41.96347,-83.14988
107,18,6,2013,"Spring",1257,0.5,1.5,26,0.877,0.245,0.279,19.346,0.046,0.002,0.229,0.001,0.004,8.243,0.005,0.001,550.1,197.819,0.36,6.846,1.882,0.275,92.904,3.134,0.034,8.552,0.294,0.034,41.96347,-83.14988
107,18,6,2013,"Spring",1257,1.5,2.5,3,2.094,0.23,0.11,19.22,0.01,0.001,0.228,0,0,8.25,0,0,13,0,0,-1.033,1.358,-1.315,103.567,0.058,0.001,9.56,0,0,41.96347,-83.14988
107,18,6,2013,"Spring",1257,2.5,3.5,2,2.987,0.176,0.059,19.205,0.007,0,0.228,0,0,8.25,0,0,13,0,0,-1.4,0.566,-0.404,103.6,0,0,9.565,0.007,0.001,41.96347,-83.14988
107,18,6,2013,"Spring",1257,3.5,4.5,3,3.875,0.392,0.101,19.133,0.045,0.002,0.227,0,0,8.257,0.006,0.001,13.067,1.301,0.1,0.933,3.164,3.391,103.567,0.058,0.001,9.577,0.006,0.001,41.96347,-83.14988
107,18,6,2013,"Spring",1257,4.5,5.5,4,4.952,0.449,0.091,19.03,0.029,0.002,0.227,0,0,8.26,0,0,11.925,0.591,0.05,0.25,1.987,7.948,103.5,0,0,9.592,0.005,0.001,41.96347,-83.14988
107,18,6,2013,"Spring",1257,5.5,6.5,2,5.987,0.209,0.035,18.975,0.021,0.001,0.226,0,0,8.26,0,0,12.75,1.202,0.094,-0.1,1.414,-14.14,103.55,0.071,0.001,9.6,0,0,41.96347,-83.14988
107,18,6,2013,"Spring",1257,6.5,7.5,4,6.918,0.245,0.035,18.918,0.017,0.001,0.226,0.001,0.004,8.26,0,0,21.7,16.1,0.742,1.2,0.927,0.773,103.5,0,0,9.615,0.006,0.001,41.96347,-83.14988
108,17,6,2013,"Spring",1540,-0.5,0.5,12,0.108,0.108,1,21.478,0.22,0.01,0.107,0.132,1.234,7.807,0.137,0.018,5.25,2.54,0.484,14.792,48.564,3.283,84.192,3.39,0.04,7.435,0.277,0.037,41.66327,-83.04967
